date,aqi,pm25,pm10,no2
2025-01-01,82,42,61,21
2025-01-02,88,46,65,23
2025-01-03,91,49,69,24
2025-01-04,95,51,72,26
2025-01-05,89,47,67,22
2025-01-06,102,56,76,28
2025-01-07,110,61,82,31
2025-01-08,106,58,79,29
2025-01-09,98,53,73,27
2025-01-10,93,50,70,25
2025-01-11,101,55,75,28
2025-01-12,115,63,84,32
2025-01-13,121,67,90,35
2025-01-14,118,65,87,34
2025-01-15,108,59,81,30
2025-01-16,99,54,74,27
2025-01-17,104,57,77,29
2025-01-18,112,61,83,32
2025-01-19,125,69,92,36
2025-01-20,130,72,96,38
2025-01-21,119,65,88,34
2025-01-22,111,61,82,31
2025-01-23,105,57,78,29
2025-01-24,116,63,85,33
2025-01-25,128,70,94,37
2025-01-26,135,74,99,40
2025-01-27,127,69,93,37
2025-01-28,120,65,88,34
2025-01-29,114,62,84,32
2025-01-30,122,67,90,35
