City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket,date,category,aqi_7day_avg
Bengaluru,2015-11-07,31.44,70.46,3.03,15.85,10.27,27.73,1.22,1.94,17.98,2.41,17.84,,60.0,Satisfactory,2015-11-07,Satisfactory,
Bengaluru,2015-11-08,31.4,61.519999999999996,1.92,15.33,8.96,21.44,,1.77,23.72,1.5,7.21,,56.0,Satisfactory,2015-11-08,Satisfactory,
Bengaluru,2015-11-09,34.92,52.58,0.87,10.21,5.52,18.46,,1.72,32.86,1.28,3.29,,59.0,Satisfactory,2015-11-09,Satisfactory,
Bengaluru,2015-11-10,12.63,43.64,1.46,6.81,4.75,12.63,1.48,2.05,41.66,1.12,2.07,,51.0,Satisfactory,2015-11-10,Satisfactory,
Bengaluru,2015-11-11,48.94,80.19333333333333,3.47,8.59,6.93,22.21,1.07,2.62,23.3,3.26,2.23,,49.0,Good,2015-11-11,Good,
Bengaluru,2015-11-12,63.69,116.74666666666667,5.05,8.2,7.38,21.57,1.82,2.27,18.98,1.07,2.66,,146.0,Moderate,2015-11-12,Moderate,
Bengaluru,2015-11-13,28.22,153.3,5.8,21.5,21.78,27.79,2.09,2.69,34.32,2.08,4.5,,61.0,Satisfactory,2015-11-13,Satisfactory,68.85714285714286
Bengaluru,2015-11-14,42.42,156.84,7.25,29.94,31.78,21.94,1.56,2.23,31.35,1.82,4.65,,130.0,Moderate,2015-11-14,Moderate,78.85714285714286
Bengaluru,2015-11-15,42.23,59.94,2.83,18.86,16.26,,1.64,2.16,34.8,1.48,3.94,,99.0,Satisfactory,2015-11-15,Satisfactory,85.0
Bengaluru,2015-11-16,16.03,16.77,3.81,18.34,18.74,,1.61,2.31,35.48,0.87,1.26,,91.0,Satisfactory,2015-11-16,Satisfactory,89.57142857142857
Bengaluru,2015-11-17,17.675,8.22,4.89,16.2,20.54,,1.6,2.49,,,,,116.0,Moderate,2015-11-17,Moderate,98.85714285714286
Bengaluru,2015-11-18,19.32,16.42,4.57,15.47,18.77,25.0,1.99,2.75,,,1.15,,126.0,Moderate,2015-11-18,Moderate,109.85714285714286
Bengaluru,2015-11-19,21.99,39.86,7.08,16.44,19.51,41.96,1.73,2.95,9.98,1.52,2.38,,103.0,Moderate,2015-11-19,Moderate,103.71428571428571
Bengaluru,2015-11-20,13.89,31.44,6.84,12.14,15.35,23.93,1.72,2.5,4.56,0.74,1.48,,74.0,Satisfactory,2015-11-20,Satisfactory,105.57142857142857
Bengaluru,2015-11-21,16.06,24.35,4.57,13.13,16.2,21.28,0.94,3.12,,,1.07,,66.0,Satisfactory,2015-11-21,Satisfactory,96.42857142857143
Bengaluru,2015-11-22,16.97,15.69,3.07,10.57,12.6,13.92,0.83,2.6,,,1.06,,61.0,Satisfactory,2015-11-22,Satisfactory,91.0
Bengaluru,2015-11-23,19.66,36.84,6.47,16.37,20.87,24.04,1.35,2.83,4.09,1.18,2.17,,75.0,Satisfactory,2015-11-23,Satisfactory,88.71428571428571
Bengaluru,2015-11-24,20.35,33.97,7.76,20.64,24.75,26.98,1.36,2.59,7.77,1.02,1.9,,85.0,Satisfactory,2015-11-24,Satisfactory,84.28571428571429
Bengaluru,2015-11-25,34.39,36.29,8.38,28.8,32.28,32.75,2.48,3.76,14.63,1.32,3.17,,141.0,Moderate,2015-11-25,Moderate,86.42857142857143
Bengaluru,2015-11-26,43.91,43.65,11.74,29.33,32.78,55.4,1.52,3.44,14.8,1.53,3.59,,90.0,Satisfactory,2015-11-26,Satisfactory,84.57142857142857
Bengaluru,2015-11-27,44.14,112.78,7.05,26.64,27.06,32.33,2.18,4.3,25.57,1.69,3.36,,126.0,Moderate,2015-11-27,Moderate,92.0
Bengaluru,2015-11-28,44.94,114.34,8.47,28.1,29.37,32.75,2.3,4.7,29.1,1.56,2.38,,147.0,Moderate,2015-11-28,Moderate,103.57142857142857
Bengaluru,2015-11-29,29.35,75.79,5.72,21.21,21.4,19.08,1.55,4.55,29.03,1.01,1.15,,87.0,Satisfactory,2015-11-29,Satisfactory,107.28571428571429
Bengaluru,2015-11-30,15.34,53.7,8.46,22.22,24.6,21.4,1.13,4.45,8.84,1.11,2.53,,56.0,Satisfactory,2015-11-30,Satisfactory,104.57142857142857
Bengaluru,2015-12-01,14.18,55.71,12.9,25.86,27.06,21.81,1.63,5.14,9.89,0.97,2.15,,88.0,Satisfactory,2015-12-01,Satisfactory,105.0
Bengaluru,2015-12-02,13.36,33.82,8.24,24.04,17.46,22.0,1.7,11.07,8.15,0.73,1.66,,67.0,Satisfactory,2015-12-02,Satisfactory,94.42857142857143
Bengaluru,2015-12-03,19.86,72.72,11.73,33.56,26.85,37.08,1.47,8.32,9.51,0.98,2.6,,74.0,Satisfactory,2015-12-03,Satisfactory,92.14285714285714
Bengaluru,2015-12-04,28.35,102.15,13.06,32.95,24.78,52.45,2.03,6.08,21.38,1.0,3.46,,105.0,Moderate,2015-12-04,Moderate,89.14285714285714
Bengaluru,2015-12-05,25.04,89.26,9.79,33.02,22.96,51.77,1.72,5.43,26.44,0.77,1.47,,103.0,Moderate,2015-12-05,Moderate,82.85714285714286
Bengaluru,2015-12-06,29.12,87.255,2.8,25.17,13.66,41.62,,3.1,43.98,0.71,1.17,,54.0,Satisfactory,2015-12-06,Satisfactory,78.14285714285714
Bengaluru,2015-12-07,41.16,85.25,10.04,34.42,23.91,46.07,1.88,5.24,27.26,0.88,1.7,,65.0,Satisfactory,2015-12-07,Satisfactory,79.42857142857143
Bengaluru,2015-12-08,46.33,82.86,17.24,44.41,34.36,45.43,1.81,5.81,19.1,1.01,1.92,,102.0,Moderate,2015-12-08,Moderate,81.42857142857143
Bengaluru,2015-12-09,48.01,78.58,16.65,39.78,31.61,46.15,1.84,4.86,6.32,1.16,1.49,,94.0,Satisfactory,2015-12-09,Satisfactory,85.28571428571429
Bengaluru,2015-12-10,35.48,58.04,25.04,35.58,35.53,51.46,1.92,5.27,3.36,0.99,1.46,,86.0,Satisfactory,2015-12-10,Satisfactory,87.0
Bengaluru,2015-12-11,32.95,79.07,23.41,41.05,36.25,26.38,2.07,5.94,2.3,1.43,1.63,,89.0,Satisfactory,2015-12-11,Satisfactory,84.71428571428571
Bengaluru,2015-12-12,50.19,73.43,18.73,57.62,31.41,20.93,1.78,5.34,2.33,1.29,1.39,,99.0,Satisfactory,2015-12-12,Satisfactory,84.14285714285714
Bengaluru,2015-12-13,34.57,64.09,15.68,42.88,37.39,12.64,1.68,4.79,2.16,0.91,1.07,,92.0,Satisfactory,2015-12-13,Satisfactory,89.57142857142857
Bengaluru,2015-12-14,52.06,56.71,13.51,27.66,21.45,11.98,1.33,4.38,1.87,1.29,1.6,,85.0,Satisfactory,2015-12-14,Satisfactory,92.42857142857143
Bengaluru,2015-12-15,39.67,100.76,5.93,22.28,13.92,14.1,1.44,2.72,1.83,1.18,1.46,,83.0,Satisfactory,2015-12-15,Satisfactory,89.71428571428571
Bengaluru,2015-12-16,50.47,56.41,4.71,37.1,20.85,20.54,1.93,3.65,6.68,1.22,1.47,,92.0,Satisfactory,2015-12-16,Satisfactory,89.42857142857143
Bengaluru,2015-12-17,41.04,62.41,10.15,40.72,26.28,22.39,1.55,5.21,17.03,0.97,1.28,,95.0,Satisfactory,2015-12-17,Satisfactory,90.71428571428571
Bengaluru,2015-12-18,56.62,85.88,24.29,57.36,45.46,29.2,2.67,6.99,17.28,1.61,1.55,,103.0,Moderate,2015-12-18,Moderate,92.71428571428571
Bengaluru,2015-12-19,42.57,78.99,20.49,49.4,39.15,21.95,2.08,5.34,17.37,1.43,1.29,,105.0,Moderate,2015-12-19,Moderate,93.57142857142857
Bengaluru,2015-12-20,60.44,65.74,17.24,43.97,33.82,26.04,1.44,5.29,20.05,1.17,1.19,,97.0,Satisfactory,2015-12-20,Satisfactory,94.28571428571429
Bengaluru,2015-12-21,48.4,72.52,18.51,53.53,39.72,30.54,1.18,5.5,21.95,1.33,1.35,,102.0,Moderate,2015-12-21,Moderate,96.71428571428571
Bengaluru,2015-12-22,49.54,84.48,22.95,65.66,49.45,34.27,1.32,5.61,20.0,1.96,1.69,,104.0,Moderate,2015-12-22,Moderate,99.71428571428571
Bengaluru,2015-12-23,49.42,74.68,20.35,55.38,42.2,36.34,1.62,5.47,24.06,1.58,1.24,,96.0,Satisfactory,2015-12-23,Satisfactory,100.28571428571429
Bengaluru,2015-12-24,61.58,81.49,20.86,56.16,42.26,44.44,1.29,5.38,36.04,1.41,1.22,,114.0,Moderate,2015-12-24,Moderate,103.0
Bengaluru,2015-12-25,68.48,81.97,17.96,51.22,37.33,24.77,1.25,5.66,40.78,1.12,2.26,,110.0,Moderate,2015-12-25,Moderate,104.0
Bengaluru,2015-12-26,57.15,63.84,15.88,42.79,31.61,18.88,1.2,5.44,41.39,1.12,1.16,,109.0,Moderate,2015-12-26,Moderate,104.57142857142857
Bengaluru,2015-12-27,76.35,76.37,16.45,42.69,31.61,14.76,1.54,5.71,59.62,1.15,0.94,,115.0,Moderate,2015-12-27,Moderate,107.14285714285714
Bengaluru,2015-12-28,85.66,83.91,22.68,56.3,42.44,41.98,1.77,6.01,59.5,1.21,1.05,,149.0,Moderate,2015-12-28,Moderate,113.85714285714286
Bengaluru,2015-12-29,49.06,73.13,20.76,54.12,40.51,24.83,1.58,6.39,31.55,1.43,1.12,,122.0,Moderate,2015-12-29,Moderate,116.42857142857143
Bengaluru,2015-12-30,48.16,74.0,22.45,59.75,44.59,21.42,0.85,6.94,31.0,1.59,1.44,,91.0,Satisfactory,2015-12-30,Satisfactory,115.71428571428571
Bengaluru,2015-12-31,71.06,74.39,20.87,61.97,44.85,26.49,1.49,7.22,36.94,1.53,1.18,,131.0,Moderate,2015-12-31,Moderate,118.14285714285714
Bengaluru,2016-01-01,56.4,95.08,13.8,51.73,34.31,14.68,0.69,7.44,55.96,0.91,0.78,,101.0,Moderate,2016-01-01,Moderate,116.85714285714286
Bengaluru,2016-01-02,53.69,93.92,26.49,73.09,54.77,16.05,0.76,8.67,34.06,1.88,1.18,,92.0,Satisfactory,2016-01-02,Satisfactory,114.42857142857143
Bengaluru,2016-01-03,62.35,99.34,24.56,77.77,55.6,16.37,0.96,9.1,47.62,2.36,1.14,,108.0,Moderate,2016-01-03,Moderate,113.42857142857143
Bengaluru,2016-01-04,64.96,104.62,18.56,77.07,50.81,14.18,0.89,8.87,50.62,1.95,1.33,,109.0,Moderate,2016-01-04,Moderate,107.71428571428571
Bengaluru,2016-01-05,70.15,105.12,23.56,79.43,56.05,16.97,0.85,9.41,36.94,1.92,1.26,,114.0,Moderate,2016-01-05,Moderate,106.57142857142857
Bengaluru,2016-01-06,68.22,91.74,29.68,68.5,55.38,16.71,0.93,14.23,45.98,1.25,1.11,,121.0,Moderate,2016-01-06,Moderate,110.85714285714286
Bengaluru,2016-01-07,68.74,74.3,42.37,53.25,58.6,26.13,0.79,23.65,23.19,27.62,16.12,,116.0,Moderate,2016-01-07,Moderate,108.71428571428571
Bengaluru,2016-01-08,67.9,62.77,46.57,51.09,60.65,22.84,0.66,14.17,8.59,1.01,0.5,,117.0,Moderate,2016-01-08,Moderate,111.0
Bengaluru,2016-01-09,79.8,74.11,57.18,64.04,86.73,21.32,0.79,14.65,10.66,2.62,0.55,,143.0,Moderate,2016-01-09,Moderate,118.28571428571429
Bengaluru,2016-01-10,76.18,63.19,38.5,46.46,52.1,11.01,0.8,15.02,14.39,2.29,0.55,,168.0,Moderate,2016-01-10,Moderate,126.85714285714286
Bengaluru,2016-01-11,61.48,53.24,23.76,39.43,62.48,10.72,0.78,11.53,19.51,1.67,1.35,,122.0,Moderate,2016-01-11,Moderate,128.71428571428572
Bengaluru,2016-01-12,73.5,106.62,9.37,39.55,27.55,12.27,1.3,4.65,21.45,1.76,0.74,,122.0,Moderate,2016-01-12,Moderate,129.85714285714286
